id,title,author,outlet,focus,topic,country,lang,date,lat,lon,url,thumbnail,outlet_logo
37408,"TikTok&#039;s Child Safety Promise Vs. Reality","Yap Si Err, Hui Kee Peh",Malaysiakini,"Information and Artificial Intelligence","AI Accountability --- Children and Youth --- Criminal Justice --- Technology and Society",Malaysia,English,07/07/2026,4.21,101.98,http://live-pulitzercenter.pantheonsite.io/stories/tiktoks-child-safety-promise-vs-reality,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/TikTokThumbnail.jpeg.webp?itok=d-FSlBHm,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2020-10/mainpic-default-1000x600-en.png.webp?itok=DIye17fg
37404,"As War Fears Grow in Ethiopia, Women Soldiers Recount the Sexual Violence They Experienced","Mehret Okubay Berehe, Hilary Matfess","The New Humanitarian","Peace and Conflict","Gender Equality --- War and Conflict",Ethiopia,English,07/16/2026,13.49667,39.47528,http://live-pulitzercenter.pantheonsite.io/stories/war-fears-grow-ethiopia-women-soldiers-recount-sexual-violence-they-experienced,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/shutterstock_2789699793%20%281%29.jpg.webp?itok=sosRlBF-,https://pulitzercenter.org/sites/default/files/styles/max_90/public/screen_shot_2019-03-26_at_3.31.20_pm.png.webp?itok=22-p1qkm
37401,"Ecuador Officials Face Audit After Investigation Supported by Pulitzer Center","Hugo Constante","Ecuador Chequea","Human Rights","Democracy and Authoritarianism",Ecuador,English,07/16/2026,-0.18,-78.46,http://live-pulitzercenter.pantheonsite.io/stories/ecuador-officials-face-audit-after-investigation-supported-pulitzer-center,,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2026-06/EcuadorChequea.jpg.webp?itok=SKevS13H
37400,"The Ancient Blueprint for Hawaii’s Food Future","Elissa Steil","Pulitzer Center","Climate and Environment","Environment and Climate Change --- Food Security --- Water and Sanitation","United States",English,07/17/2026,19.741755,-155.844437,http://live-pulitzercenter.pantheonsite.io/stories/ancient-blueprint-hawaiis-food-future,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/Hawaii1.JPG.webp?itok=o0IuK4kH,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2021-09/logowithouttext-01.png.webp?itok=Dot_iu3e
37396,"Made in Spain: Surveillance Tech Banned in EU Booms in India","Nico Schmidt, Mayank Aggarwal, Ignacio Carrascón","Investigate Europe","Information and Artificial Intelligence","AI Accountability --- Technology and Society","Spain --- India",English,07/14/2026,40.4637,3.7492,http://live-pulitzercenter.pantheonsite.io/stories/made-spain-surveillance-tech-banned-eu-booms-india,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/MadridFlag.jpg.webp?itok=kAzvQX1l,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2026-03/InvestigateEurope.jpg.webp?itok=oSPVvcvX
37395,"How Criminals Turn Telegram Into a ‘Dark Mall’ for Child Sex Abuse Material","Yap Si Err, Hui Kee Peh",Malaysiakini,"Information and Artificial Intelligence","AI Accountability --- Children and Youth --- Criminal Justice --- Technology and Society",Malaysia,English,07/05/2026,4.21,101.98,http://live-pulitzercenter.pantheonsite.io/stories/how-criminals-turn-telegram-dark-mall-child-sex-abuse-material,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/TelegramThumbnail.jpeg.webp?itok=qmEFZieJ,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2020-10/mainpic-default-1000x600-en.png.webp?itok=DIye17fg
37391,"Cincinnati Arts Survive and Thrive a Year After Budget Cuts","Megan Rudacille","Pulitzer Center","Human Rights","Democracy and Authoritarianism","United States",English,07/15/2026,39.103119,-84.512016,http://live-pulitzercenter.pantheonsite.io/stories/cincinnati-arts-survive-and-thrive-year-after-budget-cuts,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/Arts1.jpg.webp?itok=A-UekJis,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2021-09/logowithouttext-01.png.webp?itok=Dot_iu3e
37388,"Mother Featured in Pulitzer Center-Supported Series Returns to U.S. After ICE Forced Her To Leave","Sophie Carson, Jovanny Hernandez","Milwaukee Journal Sentinel","Human Rights","Migration and Refugees","United States --- El Salvador",English,07/08/2026,43.0389,-87.90647,http://live-pulitzercenter.pantheonsite.io/stories/mother-featured-pulitzer-center-supported-series-returns-us-after-ice-forced-her-leave,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/Ruano3.jpg.webp?itok=nf9k9juU,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2024-01/milwaukee-journal-sentinel-logo.jpg.webp?itok=_whfhZ3v
37387,"Colonial-Era Coconut Farms Pose Risks to the Survival of Pacific Atolls","Ryan Green","Honolulu Civil Beat","Climate and Environment","Environment and Climate Change --- Ocean","French Polynesia",English,06/17/2026,17.68,149.37,http://live-pulitzercenter.pantheonsite.io/stories/colonial-era-coconut-farms-pose-risks-survival-pacific-atolls,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/Coconut4.jpg.webp?itok=LgYlZK-W,https://pulitzercenter.org/sites/default/files/styles/max_90/public/prx-site_medium.png.webp?itok=iEl11tC1
37384,"Li Tian: The King of Fruits","Beimeng Fu, Zhaoyin Feng",equator,"Climate and Environment","Environment and Climate Change --- Food Security --- Rainforests",Laos,English,06/30/2026,18.2063,103.889,http://live-pulitzercenter.pantheonsite.io/stories/li-tian-king-fruits,https://pulitzercenter.org/sites/default/files/styles/max_375/public/2026-07/durian%20thumbnail.jpg.webp?itok=_QLjwlVt,https://pulitzercenter.org/sites/default/files/styles/max_90/public/2026-01/Equator%20logo2.jpg.webp?itok=mnB6q4la
